x,phi0,phi0_asymptotic
5.355,6.065360263,6.065393378
5.37,6.080360856,6.080393378
5.385,6.095361439,6.095393378
5.4,6.110362011,6.110393378
5.415,6.125362573,6.125393378
5.43,6.140363124,6.140393378
5.445,6.155363665,6.155393378
5.46,6.170364196,6.170393378
5.475,6.185364718,6.185393378
5.49,6.20036523,6.200393378
5.505,6.215365733,6.215393378
5.52,6.230366226,6.230393378
5.535,6.245366711,6.245393378
5.55,6.260367187,6.260393378
5.565,6.275367654,6.275393378
5.58,6.290368112,6.290393378
5.595,6.305368563,6.305393378
5.61,6.320369005,6.320393378
5.625,6.335369439,6.335393378
5.64,6.350369865,6.350393378
5.655,6.365370283,6.365393378
5.67,6.380370694,6.380393378
5.685,6.395371098,6.395393378
5.7,6.410371494,6.410393378
5.715,6.425371883,6.425393378
5.73,6.440372264,6.440393378
5.745,6.455372639,6.455393378
5.76,6.470373007,6.470393378
5.775,6.485373369,6.485393378
5.79,6.500373724,6.500393378
5.805,6.515374072,6.515393378
5.82,6.530374415,6.530393378
5.835,6.545374751,6.545393378
5.85,6.560375081,6.560393378
5.865,6.575375405,6.575393378
5.88,6.590375723,6.590393378
5.895,6.605376035,6.605393378
5.91,6.620376342,6.620393378
5.925,6.635376643,6.635393378
5.94,6.650376939,6.650393378
5.955,6.66537723,6.665393378
5.97,6.680377515,6.680393378
5.985,6.695377795,6.695393378
6,6.71037807,6.710393378
